timestamp,command,duration_s,exit_code,cpu_pct_avg,mem_kb_max,tag,status,pipeline_id,mode
2025-06-15 17:41:58,docker-login,0.5,0,8.0,0,build,pass,1870794388.0,baseline
2025-06-15 17:43:24,docker-build,85.65,0,40.64,46420,build,pass,1870794388.0,baseline
2025-06-15 17:44:16,docker-push,52.1,0,55.8,37656,build,pass,1870794388.0,baseline
2025-06-15 17:45:16,flake8 .,1.0,0,48.05,22416,lint,pass,1870794388.0,baseline
2025-06-15 17:46:13,python manage.py collectstatic --noinput,0.5,0,36.0,0,test,pass,1870794388.0,baseline
2025-06-15 17:46:13,python manage.py migrate --noinput,0.5,0,40.0,0,test,pass,1870794388.0,baseline
2025-06-15 17:46:17,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.91,58960,test,pass,1870794388.0,baseline
2025-06-15 17:46:31,coverage run --append --source=. manage.py test --tag=functional,9.02,0,25.46,59352,test,pass,1870794388.0,baseline
2025-06-15 22:10:41,docker-login,0.5,0,7.9,0,build,pass,,baseline
2025-06-15 22:11:53,docker-build,72.63,1,39.17,45248,build,fail,,baseline
2025-06-16 07:58:40,docker-login,0.5,0,7.1,0,build,pass,,baseline
2025-06-16 08:00:18,docker-build,98.17,0,42.39,45324,build,pass,,baseline
2025-06-16 08:01:16,docker-push,57.6,0,71.08,37540,build,pass,,baseline
2025-06-16 08:02:20,flake8 .,1.0,0,49.5,22160,lint,pass,,baseline
2025-06-16 08:03:32,python manage.py collectstatic --noinput,0.5,0,33.3,0,test,pass,,baseline
2025-06-16 08:03:32,python manage.py migrate --noinput,0.5,0,36.0,0,test,pass,,baseline
2025-06-16 08:03:36,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.84,59104,test,pass,,baseline
2025-06-16 08:03:50,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.34,59604,test,pass,,baseline
2025-06-15 22:10:41,docker-login,0.5,0,7.9,0,build,pass,1870931883.0,baseline
2025-06-15 22:11:53,docker-build,72.63,1,39.17,45248,build,fail,1870931883.0,baseline
2025-06-16 08:34:59,docker-login,0.5,0,6.1,0,build,pass,1871516056.0,baseline
2025-06-16 08:36:44,docker-build,105.19,0,42.03,46012,build,pass,1871516056.0,baseline
2025-06-16 08:37:44,docker-push,60.11,0,68.42,37700,build,pass,1871516056.0,baseline
2025-06-16 08:36:02,docker-login,0.5,0,6.1,0,build,pass,1871517587.0,baseline
2025-06-16 08:37:45,docker-build,103.19,0,41.67,47988,build,pass,1871517587.0,baseline
2025-06-16 08:38:44,docker-push,58.1,0,70.88,36880,build,pass,1871517587.0,baseline
2025-06-16 08:39:49,flake8 .,1.0,0,49.9,22496,lint,pass,1871517587.0,baseline
2025-06-16 08:37:07,docker-login,0.5,0,7.9,0,build,pass,1871519750.0,baseline
2025-06-16 08:38:55,docker-build,107.71,0,41.15,45852,build,pass,1871519750.0,baseline
2025-06-16 08:39:54,docker-push,58.61,0,70.43,38564,build,pass,1871519750.0,baseline
2025-06-16 08:37:51,docker-login,0.5,0,7.1,0,build,pass,1871520935.0,baseline
2025-06-16 08:39:27,docker-build,95.18,1,40.35,45428,build,fail,1871520935.0,baseline
2025-06-16 08:45:34,docker-login,0.5,0,8.0,0,build,pass,1871533878.0,baseline
2025-06-16 08:46:51,docker-build,76.14,1,39.7,45216,build,fail,1871533878.0,baseline
2025-06-16 08:47:12,docker-login,0.5,0,6.1,0,build,pass,1871537696.0,baseline
2025-06-16 08:47:13,docker-build,0.5,1,5.9,0,build,fail,1871537696.0,baseline
2025-06-16 12:51:35,docker-login,0.5,0,7.0,0,build,pass,1872038439.0,baseline
2025-06-16 12:52:49,docker-build,73.64,1,40.58,45228,build,fail,1872038439.0,baseline
2025-06-16 12:59:20,docker-login,0.5,0,8.0,0,build,pass,1872052381.0,baseline
2025-06-16 13:00:38,docker-build,78.15,1,39.72,47128,build,fail,1872052381.0,baseline
2025-06-16 13:13:46,docker-login,0.5,0,8.1,0,build,pass,1872085892.0,baseline
2025-06-16 13:15:06,docker-build,79.66,1,39.6,44388,build,fail,1872085892.0,baseline
2025-06-16 21:15:45,docker-login,0.5,0,7.1,0,build,pass,1872914592.0,baseline
2025-06-16 21:18:12,docker-build,147.29,0,40.11,47488,build,pass,1872914592.0,baseline
2025-06-16 21:19:23,docker-push,70.14,0,82.87,37752,build,pass,1872914592.0,baseline
2025-06-16 21:20:38,flake8 .,1.0,0,54.5,22592,lint,pass,1872914592.0,baseline
2025-06-16 21:21:48,python manage.py collectstatic --noinput,0.5,0,35.0,0,test,pass,1872914592.0,baseline
2025-06-16 21:21:48,python manage.py migrate --noinput,0.5,0,36.0,0,test,pass,1872914592.0,baseline
2025-06-16 21:21:51,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.0,59320,test,pass,1872914592.0,baseline
2025-06-16 21:22:05,coverage run --append --source=. manage.py test --tag=functional,8.52,0,25.5,59712,test,pass,1872914592.0,baseline
2025-06-17 08:07:04,docker-login,0.5,0,6.1,0,build,pass,1873693142.0,baseline
2025-06-17 08:09:09,docker-build,124.23,0,40.96,44920,build,pass,1873693142.0,baseline
2025-06-17 08:09:09,docker-push,0.5,1,3.0,0,build,fail,1873693142.0,baseline
2025-06-17 08:14:05,docker-login,0.5,0,7.0,0,build,pass,1873705346.0,baseline
2025-06-17 08:16:15,docker-build,129.25,0,41.84,45340,build,pass,1873705346.0,baseline
2025-06-17 08:17:21,docker-push,65.62,0,80.53,36508,build,pass,1873705346.0,baseline
2025-06-17 08:18:36,flake8 .,1.0,1,54.35,22572,lint,fail,1873705346.0,baseline
2025-06-17 08:35:28,docker-login,0.5,0,7.9,0,build,pass,1873745258.0,baseline
2025-06-17 08:35:28,docker-build,0.5,1,5.0,0,build,fail,1873745258.0,baseline
2025-06-17 10:46:54,docker-login,0.5,0,10.0,0,build,pass,1874030681.0,baseline
2025-06-17 10:50:47,docker-build,232.92,0,32.39,44508,build,pass,1874030681.0,baseline
2025-06-17 10:55:52,docker-push,304.51,0,59.14,38624,build,pass,1874030681.0,baseline
2025-06-17 10:58:15,flake8 .,1.0,0,52.45,22444,lint,pass,1874030681.0,baseline
2025-06-24 15:29:43,docker-login,0.5,0,7.0,0,build,pass,1886996200.0,baseline
2025-06-24 15:34:52,docker-build,305.09,0,28.37,47760,build,pass,1886996200.0,baseline
2025-06-24 15:38:37,docker-push,214.41,0,61.31,38456,build,pass,1886996200.0,baseline
2025-06-24 15:41:14,flake8 .,1.0,0,54.1,22636,lint,pass,1886996200.0,baseline
2025-06-24 15:43:37,python manage.py collectstatic --noinput,0.5,0,38.0,0,test,pass,1886996200.0,baseline
2025-06-24 15:43:42,python manage.py migrate --noinput,0.5,0,40.6,0,test,pass,1886996200.0,baseline
2025-06-24 15:43:50,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,54.03,59068,test,pass,1886996200.0,baseline
2025-06-24 15:44:10,coverage run --append --source=. manage.py test --tag=functional,10.52,0,22.02,60120,test,pass,1886996200.0,baseline
2025-06-24 15:57:43,docker-login,0.5,0,7.1,0,build,pass,1887046168.0,baseline
2025-06-24 16:02:25,docker-build,278.53,0,29.42,45500,build,pass,1887046168.0,baseline
2025-06-24 16:06:00,docker-push,207.88,0,60.01,38872,build,pass,1887046168.0,baseline
2025-06-24 16:20:05,docker-login,0.5,0,12.1,0,build,pass,1887089637.0,baseline
2025-06-24 16:25:43,docker-build,332.73,0,33.34,47188,build,pass,1887089637.0,baseline
2025-06-24 16:29:44,docker-push,229.98,0,62.24,38824,build,pass,1887089637.0,baseline
2025-06-26 06:50:53,docker-login,0.5,0,6.1,0,build,pass,1890437184.0,baseline
2025-06-26 06:55:36,docker-build,280.02,0,28.57,46376,build,pass,1890437184.0,baseline
2025-06-26 06:59:04,docker-push,199.36,0,62.09,38644,build,pass,1890437184.0,baseline
2025-06-26 07:01:39,flake8 .,1.0,0,54.0,22524,lint,pass,1890437184.0,baseline
2025-06-26 07:04:04,python manage.py collectstatic --noinput,0.5,0,35.0,0,test,pass,1890437184.0,baseline
2025-06-26 07:04:09,python manage.py migrate --noinput,0.5,0,39.0,0,test,pass,1890437184.0,baseline
2025-06-26 07:04:16,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.31,59092,test,pass,1890437184.0,baseline
2025-06-26 07:04:35,coverage run --append --source=. manage.py test --tag=functional,9.52,0,24.01,59496,test,pass,1890437184.0,baseline
2025-06-26 09:15:39,docker-login,0.5,0,6.1,0,build,pass,1890700505.0,baseline
2025-06-26 09:20:34,docker-build,292.05,0,28.44,45932,build,pass,1890700505.0,baseline
2025-06-26 09:24:08,docker-push,205.37,0,61.25,38656,build,pass,1890700505.0,baseline
2025-06-26 09:26:37,flake8 .,1.0,0,51.5,22580,lint,pass,1890700505.0,baseline
2025-06-26 09:29:07,python manage.py collectstatic --noinput,0.5,0,35.6,0,test,pass,1890700505.0,baseline
2025-06-26 09:29:12,python manage.py migrate --noinput,0.5,0,38.0,0,test,pass,1890700505.0,baseline
2025-06-26 09:29:20,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.51,59252,test,pass,1890700505.0,baseline
2025-06-26 09:29:40,coverage run --append --source=. manage.py test --tag=functional,10.52,0,22.15,60080,test,pass,1890700505.0,baseline
2025-06-26 10:11:53,docker-login,0.5,0,9.0,0,build,pass,1890828514.0,baseline
2025-06-26 10:17:31,docker-build,332.69,0,31.55,46092,build,pass,1890828514.0,baseline
2025-06-26 10:21:36,docker-push,236.49,0,59.55,39040,build,pass,1890828514.0,baseline
2025-06-26 10:24:09,flake8 .,1.0,0,52.9,22708,lint,pass,1890828514.0,baseline
2025-06-26 10:24:10,flake8 .,1.0,0,53.4,22560,lint,pass,1890828514.0,baseline
2025-06-26 10:26:35,python manage.py collectstatic --noinput,0.5,0,35.4,0,test,pass,1890828514.0,baseline
2025-06-26 10:26:40,python manage.py migrate --noinput,0.5,0,40.2,0,test,pass,1890828514.0,baseline
2025-06-26 10:26:48,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,54.43,59084,test,fail,1890828514.0,baseline
2025-06-26 10:26:51,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,53.51,59280,test,fail,1890828514.0,baseline
2025-06-26 11:06:12,docker-login,0.5,0,4.0,0,build,pass,1890930758.0,baseline
2025-06-26 11:10:57,docker-build,1.5,0,45.37,42852,build,pass,1890930758.0,baseline
2025-06-26 11:14:36,docker-push,1.0,0,8.1,35992,build,pass,1890930758.0,baseline
2025-06-26 11:17:38,flake8 .,1.0,0,53.9,22572,lint,pass,1890930758.0,baseline
2025-06-26 11:17:40,flake8 .,1.0,0,55.1,22624,lint,fail,1890930758.0,baseline
2025-06-26 11:17:42,flake8 .,1.0,0,54.0,22724,lint,pass,1890930758.0,baseline
2025-06-26 11:20:07,python manage.py collectstatic --noinput,0.5,0,29.3,0,test,pass,1890930758.0,baseline
2025-06-26 11:20:13,python manage.py migrate --noinput,0.5,0,37.4,0,test,pass,1890930758.0,baseline
2025-06-26 11:20:27,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,53.6,59280,test,fail,1890930758.0,baseline
2025-06-26 11:20:37,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,53.63,59204,test,fail,1890930758.0,baseline
2025-06-26 12:23:01,docker-login,0.5,0,5.0,0,build,pass,1891077891.0,ml
2025-06-26 12:36:33,docker-login,0.5,0,4.0,0,build,pass,1891106068.0,ml
2025-06-26 13:55:48,docker-login,0.5,0,4.0,0,build,pass,1891286641.0,ml
2025-06-26 14:18:47,docker-login,1.0,0,2.05,36972,build,pass,1891346115.0,ml
2025-06-26 14:18:48,docker-login,0.5,0,5.1,0,build,pass,1891346115.0,ml
2025-06-26 14:23:54,docker-build,0.5,0,11.3,0,build,pass,1891346115.0,ml
2025-06-26 14:27:42,docker-build,0.5,0,10.1,0,build,pass,1891346115.0,ml
2025-06-26 14:31:46,docker-push,1.0,0,8.0,37188,build,pass,1891346115.0,ml
2025-06-26 14:31:50,docker-push,1.0,0,10.3,37132,build,pass,1891346115.0,ml
2025-06-26 14:34:36,flake8 .,1.0,0,51.6,22608,lint,pass,1891346115.0,ml
2025-06-26 14:34:37,flake8 .,1.0,0,51.8,22584,lint,fail,1891346115.0,ml
2025-06-26 14:34:40,flake8 .,1.0,0,52.9,22584,lint,pass,1891346115.0,ml
2025-06-26 14:41:13,docker-login,0.5,0,4.0,0,build,pass,1891397062.0,ml
2025-06-26 14:41:14,docker-login,0.5,0,4.0,0,build,pass,1891397062.0,ml
2025-06-26 14:46:38,docker-build,0.5,0,14.0,0,build,pass,1891397062.0,ml
2025-06-26 14:50:38,docker-build,0.5,0,10.2,0,build,pass,1891397062.0,ml
2025-06-26 14:54:34,docker-push,1.0,0,6.55,35632,build,pass,1891397062.0,ml
2025-06-26 14:54:39,docker-push,1.0,0,6.55,37728,build,pass,1891397062.0,ml
2025-06-26 14:57:24,flake8 .,1.0,0,56.0,22660,lint,pass,1891397062.0,ml
2025-06-26 14:57:26,flake8 .,1.0,0,52.5,22300,lint,fail,1891397062.0,ml
2025-06-26 14:57:28,flake8 .,1.0,0,53.2,22676,lint,pass,1891397062.0,ml
2025-06-26 14:59:53,python manage.py collectstatic --noinput,0.5,0,31.0,0,test,pass,1891397062.0,ml
2025-06-26 14:59:55,python manage.py collectstatic --noinput,0.5,0,29.3,0,test,pass,1891397062.0,ml
2025-06-26 15:00:00,python manage.py migrate --noinput,0.5,0,39.6,0,test,pass,1891397062.0,ml
2025-06-26 15:00:02,python manage.py migrate --noinput,0.5,0,37.6,0,test,pass,1891397062.0,ml
2025-06-26 15:00:16,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,53.2,59124,test,fail,1891397062.0,ml
2025-06-26 15:00:25,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,52.0,59260,test,fail,1891397062.0,ml
2025-06-27 07:00:29,docker-login,0.5,0,8.0,0,build,pass,1893290354.0,ml
2025-06-27 07:05:24,docker-build,290.04,0,28.93,46456,build,pass,1893290354.0,ml
2025-06-27 07:09:04,docker-push,205.38,0,61.14,39264,build,pass,1893290354.0,ml
2025-06-27 07:13:56,python manage.py collectstatic --noinput,0.5,0,32.0,0,test,pass,1893290354.0,ml
2025-06-27 07:14:01,python manage.py migrate --noinput,0.5,0,35.0,0,test,pass,1893290354.0,ml
2025-06-27 07:14:08,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,1,50.86,59056,test,fail,1893290354.0,ml
2025-06-27 07:30:02,docker-login,0.5,0,7.0,0,build,pass,1893336132.0,ml
2025-06-27 07:34:49,docker-build,1.0,0,9.1,43760,build,pass,1893336132.0,ml
2025-06-27 07:38:28,docker-push,1.0,0,7.0,36812,build,pass,1893336132.0,ml
2025-06-27 07:41:10,flake8 .,1.0,0,54.25,22740,lint,pass,1893336132.0,ml
2025-06-27 07:43:31,python manage.py collectstatic --noinput,0.5,0,25.3,0,test,pass,1893336132.0,ml
2025-06-27 07:43:35,python manage.py migrate --noinput,0.5,0,33.0,0,test,pass,1893336132.0,ml
2025-06-27 07:43:45,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,1,59.93,59072,test,fail,1893336132.0,ml
2025-06-27 07:43:52,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,1,58.75,58896,test,fail,1893336132.0,ml
2025-06-27 07:52:42,docker-login,0.5,0,5.1,0,build,pass,1893367071.0,ml
2025-06-27 07:57:47,docker-build,1.0,0,11.7,42560,build,pass,1893367071.0,ml
2025-06-27 08:01:31,docker-push,1.0,0,7.05,36628,build,pass,1893367071.0,ml
2025-06-27 08:04:05,flake8 .,1.0,0,54.2,22612,lint,pass,1893367071.0,ml
2025-06-27 08:06:27,python manage.py collectstatic --noinput,0.5,0,28.0,0,test,pass,1893367071.0,ml
2025-06-27 08:06:32,python manage.py migrate --noinput,0.5,0,34.3,0,test,pass,1893367071.0,ml
2025-06-27 08:06:43,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.07,59216,test,pass,1893367071.0,ml
2025-06-27 08:07:10,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.15,60048,test,pass,1893367071.0,ml
